cow_id,site_id,latitude,longitude,coverage_radius_m,pop_in_buffer_total,pop_in_buffer_in_outage,total_cost_vnd,deployment_time_hr
COW_001,J_00527,16.4832781,107.5715416,4000.0,275945.25,212472.078125,20077865.20190764,1.1770887122
COW_002,J_00594,16.1659196,107.5715416,2000.0,0.0,0.0,15068117.71525083,1.0384799625
COW_026,J_00312,16.1621033,107.7090716,1000.0,2258.3369140625,2258.3369140625,10044534.436021367,0.8227133045
COW_027,J_00615,16.2736614,107.9727898,1000.0,2170.84326171875,0.0,10044534.436021367,0.8227133045
COW_006,J_00868,16.4626288,107.6022722,2000.0,120132.46875,86389.90625,15086908.726665637,1.1870255072
COW_008,J_00713,16.5057018,107.6255391,1000.0,4905.634765625,3243.985595703125,10012405.89880828,0.59807034631
COW_009,J_00716,16.5143335,107.6429159,1000.0,1927.50146484375,1924.6171875,10016559.034360722,0.61999300261
COW_019,J_00280,16.6985392,107.3810678,1000.0,1392.617431640625,221.4435577392578,10030120.939354151,0.71826767647
COW_025,J_00822,16.2893818,107.832841,2000.0,1897.2269287109375,0.0,15057153.340595445,0.951805064
COW_031,J_00462,16.5743603,107.508071,4000.0,32612.32421875,13503.052734375,20116761.106704783,1.5153139713
